"Kod";"Nazwa";"ogółem;ogółem;2015;[osoba]";"ogółem;ogółem;2016;[osoba]";"ogółem;ogółem;2017;[osoba]";"ogółem;ogółem;2018;[osoba]";"ogółem;ogółem;2019;[osoba]";"ogółem;ogółem;2020;[osoba]";"ogółem;ogółem;2021;[osoba]";"ogółem;ogółem;2022;[osoba]";"ogółem;ogółem;2023;[osoba]";"ogółem;ogółem;2024;[osoba]";"ogółem;mężczyźni;2015;[osoba]";"ogółem;mężczyźni;2016;[osoba]";"ogółem;mężczyźni;2017;[osoba]";"ogółem;mężczyźni;2018;[osoba]";"ogółem;mężczyźni;2019;[osoba]";"ogółem;mężczyźni;2020;[osoba]";"ogółem;mężczyźni;2021;[osoba]";"ogółem;mężczyźni;2022;[osoba]";"ogółem;mężczyźni;2023;[osoba]";"ogółem;mężczyźni;2024;[osoba]";"ogółem;kobiety;2015;[osoba]";"ogółem;kobiety;2016;[osoba]";"ogółem;kobiety;2017;[osoba]";"ogółem;kobiety;2018;[osoba]";"ogółem;kobiety;2019;[osoba]";"ogółem;kobiety;2020;[osoba]";"ogółem;kobiety;2021;[osoba]";"ogółem;kobiety;2022;[osoba]";"ogółem;kobiety;2023;[osoba]";"ogółem;kobiety;2024;[osoba]";"24 lata i mniej;ogółem;2015;[osoba]";"24 lata i mniej;ogółem;2016;[osoba]";"24 lata i mniej;ogółem;2017;[osoba]";"24 lata i mniej;ogółem;2018;[osoba]";"24 lata i mniej;ogółem;2019;[osoba]";"24 lata i mniej;ogółem;2020;[osoba]";"24 lata i mniej;ogółem;2021;[osoba]";"24 lata i mniej;ogółem;2022;[osoba]";"24 lata i mniej;ogółem;2023;[osoba]";"24 lata i mniej;ogółem;2024;[osoba]";"24 lata i mniej;mężczyźni;2015;[osoba]";"24 lata i mniej;mężczyźni;2016;[osoba]";"24 lata i mniej;mężczyźni;2017;[osoba]";"24 lata i mniej;mężczyźni;2018;[osoba]";"24 lata i mniej;mężczyźni;2019;[osoba]";"24 lata i mniej;mężczyźni;2020;[osoba]";"24 lata i mniej;mężczyźni;2021;[osoba]";"24 lata i mniej;mężczyźni;2022;[osoba]";"24 lata i mniej;mężczyźni;2023;[osoba]";"24 lata i mniej;mężczyźni;2024;[osoba]";"24 lata i mniej;kobiety;2015;[osoba]";"24 lata i mniej;kobiety;2016;[osoba]";"24 lata i mniej;kobiety;2017;[osoba]";"24 lata i mniej;kobiety;2018;[osoba]";"24 lata i mniej;kobiety;2019;[osoba]";"24 lata i mniej;kobiety;2020;[osoba]";"24 lata i mniej;kobiety;2021;[osoba]";"24 lata i mniej;kobiety;2022;[osoba]";"24 lata i mniej;kobiety;2023;[osoba]";"24 lata i mniej;kobiety;2024;[osoba]";"25 i więcej;ogółem;2015;[osoba]";"25 i więcej;ogółem;2016;[osoba]";"25 i więcej;ogółem;2017;[osoba]";"25 i więcej;ogółem;2018;[osoba]";"25 i więcej;ogółem;2019;[osoba]";"25 i więcej;ogółem;2020;[osoba]";"25 i więcej;ogółem;2021;[osoba]";"25 i więcej;ogółem;2022;[osoba]";"25 i więcej;ogółem;2023;[osoba]";"25 i więcej;ogółem;2024;[osoba]";"25 i więcej;mężczyźni;2015;[osoba]";"25 i więcej;mężczyźni;2016;[osoba]";"25 i więcej;mężczyźni;2017;[osoba]";"25 i więcej;mężczyźni;2018;[osoba]";"25 i więcej;mężczyźni;2019;[osoba]";"25 i więcej;mężczyźni;2020;[osoba]";"25 i więcej;mężczyźni;2021;[osoba]";"25 i więcej;mężczyźni;2022;[osoba]";"25 i więcej;mężczyźni;2023;[osoba]";"25 i więcej;mężczyźni;2024;[osoba]";"25 i więcej;kobiety;2015;[osoba]";"25 i więcej;kobiety;2016;[osoba]";"25 i więcej;kobiety;2017;[osoba]";"25 i więcej;kobiety;2018;[osoba]";"25 i więcej;kobiety;2019;[osoba]";"25 i więcej;kobiety;2020;[osoba]";"25 i więcej;kobiety;2021;[osoba]";"25 i więcej;kobiety;2022;[osoba]";"25 i więcej;kobiety;2023;[osoba]";"25 i więcej;kobiety;2024;[osoba]";"25-34;ogółem;2015;[osoba]";"25-34;ogółem;2016;[osoba]";"25-34;ogółem;2017;[osoba]";"25-34;ogółem;2018;[osoba]";"25-34;ogółem;2019;[osoba]";"25-34;ogółem;2020;[osoba]";"25-34;ogółem;2021;[osoba]";"25-34;ogółem;2022;[osoba]";"25-34;ogółem;2023;[osoba]";"25-34;ogółem;2024;[osoba]";"25-34;mężczyźni;2015;[osoba]";"25-34;mężczyźni;2016;[osoba]";"25-34;mężczyźni;2017;[osoba]";"25-34;mężczyźni;2018;[osoba]";"25-34;mężczyźni;2019;[osoba]";"25-34;mężczyźni;2020;[osoba]";"25-34;mężczyźni;2021;[osoba]";"25-34;mężczyźni;2022;[osoba]";"25-34;mężczyźni;2023;[osoba]";"25-34;mężczyźni;2024;[osoba]";"25-34;kobiety;2015;[osoba]";"25-34;kobiety;2016;[osoba]";"25-34;kobiety;2017;[osoba]";"25-34;kobiety;2018;[osoba]";"25-34;kobiety;2019;[osoba]";"25-34;kobiety;2020;[osoba]";"25-34;kobiety;2021;[osoba]";"25-34;kobiety;2022;[osoba]";"25-34;kobiety;2023;[osoba]";"25-34;kobiety;2024;[osoba]";"35-44;ogółem;2015;[osoba]";"35-44;ogółem;2016;[osoba]";"35-44;ogółem;2017;[osoba]";"35-44;ogółem;2018;[osoba]";"35-44;ogółem;2019;[osoba]";"35-44;ogółem;2020;[osoba]";"35-44;ogółem;2021;[osoba]";"35-44;ogółem;2022;[osoba]";"35-44;ogółem;2023;[osoba]";"35-44;ogółem;2024;[osoba]";"35-44;mężczyźni;2015;[osoba]";"35-44;mężczyźni;2016;[osoba]";"35-44;mężczyźni;2017;[osoba]";"35-44;mężczyźni;2018;[osoba]";"35-44;mężczyźni;2019;[osoba]";"35-44;mężczyźni;2020;[osoba]";"35-44;mężczyźni;2021;[osoba]";"35-44;mężczyźni;2022;[osoba]";"35-44;mężczyźni;2023;[osoba]";"35-44;mężczyźni;2024;[osoba]";"35-44;kobiety;2015;[osoba]";"35-44;kobiety;2016;[osoba]";"35-44;kobiety;2017;[osoba]";"35-44;kobiety;2018;[osoba]";"35-44;kobiety;2019;[osoba]";"35-44;kobiety;2020;[osoba]";"35-44;kobiety;2021;[osoba]";"35-44;kobiety;2022;[osoba]";"35-44;kobiety;2023;[osoba]";"35-44;kobiety;2024;[osoba]";
0000000;"POLSKA";1563339;1335155;1081746;968888;866374;1046432;895203;812301;788229;786179;747201;622928;486216;426246;386959;484826;413268;375892;373293;380373;816138;712227;595530;542642;479415;561606;481935;436409;414936;405806;236837;179203;134333;118577;106145;130815;100597;100373;100763;101855;108088;77201;53397;46136;42624;56963;43705;45553;46406;48457;128749;102002;80936;72441;63521;73852;56892;54820;54357;53398;1326502;1155952;947413;850311;760229;915617;794606;711928;687466;684324;639113;545727;432819;380110;344335;427863;369563;330339;326887;331916;687389;610225;514594;470201;415894;487754;425043;381589;360579;352408;429799;370141;303039;271669;236601;283905;230919;198314;186506;180423;169628;136257;100761;85836;75368;99215;78136;67559;66571;67691;260171;233884;202278;185833;161233;184690;152783;130755;119935;112732;332887;295010;250559;230053;208294;260819;230176;207584;201955;201883;145370;125313;101248;89551;82237;108525;93887;83918;84462;86638;187517;169697;149311;140502;126057;152294;136289;123666;117493;115245;
1400000;"MAZOWIECKIE";216527;188910;154068;136545;123208;146375;129248;116520;110526;109020;111843;95107;75250;65440;59684;72353;63966;57522;56252;56340;104684;93803;78818;71105;63524;74022;65282;58998;54274;52680;30315;23193;18032;15625;13937;16891;13334;12971;12666;12394;15299;11087;8178;6969;6363;8167;6504;6435;6361;6369;15016;12106;9854;8656;7574;8724;6830;6536;6305;6025;186212;165717;136036;120920;109271;129484;115914;103549;97860;96626;96544;84020;67072;58471;53321;64186;57462;51087;49891;49971;89668;81697;68964;62449;55950;65298;58452;52462;47969;46655;57021;49601;41036;36256;31812;38291;31932;27491;25499;24560;25536;20641;15500;13089;11380;14767;12037;10493;10210;10296;31485;28960;25536;23167;20432;23524;19895;16998;15289;14264;48040;43723;37080;33703;31086;37779;34347;30580;29054;28382;22769;20109;16340;14352;13491;16733;15103;13280;13302;13162;25271;23614;20740;19351;17595;21046;19244;17300;15752;15220;
3000000;"WIELKOPOLSKIE";93311;77697;58857;50867;46313;60958;49850;46289;46531;46625;39504;31981;23091;19415;18327;25410;20250;19144;19340;19893;53807;45716;35766;31452;27986;35548;29600;27145;27191;26732;15599;11366;8283;6867;6382;8370;6225;6988;7169;7245;6157;4203;2753;2208;2244;3194;2349;2896;2928;3053;9442;7163;5530;4659;4138;5176;3876;4092;4241;4192;77712;66331;50574;44000;39931;52588;43625;39301;39362;39380;33347;27778;20338;17207;16083;22216;17901;16248;16412;16840;44365;38553;30236;26793;23848;30372;25724;23053;22950;22540;26374;22465;17088;14726;13145;17026;13188;11277;11118;10628;8660;6861;4578;3793;3561;5174;3660;3256;3302;3371;17714;15604;12510;10933;9584;11852;9528;8021;7816;7257;19210;16692;13282;11933;10833;15018;12703;11439;11601;11584;7324;6105;4607;3939;3669;5651;4495;4021;4175;4260;11886;10587;8675;7994;7164;9367;8208;7418;7426;7324;
3200000;"ZACHODNIOPOMORSKIE";79393;65842;52599;46002;41771;52018;43446;40144;39709;39675;36511;29403;22022;18883;17517;23502;19158;17544;18189;18458;42882;36439;30577;27119;24254;28516;24288;22600;21520;21217;10379;7842;5865;5088;4537;5868;4140;4102;4434;4330;4228;2900;1893;1579;1559;2363;1553;1635;1875;1893;6151;4942;3972;3509;2978;3505;2587;2467;2559;2437;69014;58000;46734;40914;37234;46150;39306;36042;35275;35345;32283;26503;20129;17304;15958;21139;17605;15909;16314;16565;36731;31497;26605;23610;21276;25011;21701;20133;18961;18780;20536;17181;13774;12356;10993;13466;10749;9362;8941;8652;7340;5618;3788;3318;2951;4339;3144;2670;2892;2898;13196;11563;9986;9038;8042;9127;7605;6692;6049;5754;16688;14300;11962;10633;9861;13046;11199;10456;10251;10428;6760;5651;4243;3626;3508;5203;4244;3928;4049;4230;9928;8649;7719;7007;6353;7843;6955;6528;6202;6198;
