"Kod";"Nazwa";"ogółem;2015;[osoba]";"ogółem;2016;[osoba]";"ogółem;2017;[osoba]";"ogółem;2018;[osoba]";"ogółem;2019;[osoba]";"ogółem;2020;[osoba]";"ogółem;2021;[osoba]";"ogółem;2022;[osoba]";"ogółem;2023;[osoba]";"ogółem;2024;[osoba]";"mężczyźni;2015;[osoba]";"mężczyźni;2016;[osoba]";"mężczyźni;2017;[osoba]";"mężczyźni;2018;[osoba]";"mężczyźni;2019;[osoba]";"mężczyźni;2020;[osoba]";"mężczyźni;2021;[osoba]";"mężczyźni;2022;[osoba]";"mężczyźni;2023;[osoba]";"mężczyźni;2024;[osoba]";"kobiety;2015;[osoba]";"kobiety;2016;[osoba]";"kobiety;2017;[osoba]";"kobiety;2018;[osoba]";"kobiety;2019;[osoba]";"kobiety;2020;[osoba]";"kobiety;2021;[osoba]";"kobiety;2022;[osoba]";"kobiety;2023;[osoba]";"kobiety;2024;[osoba]";
0000000;"POLSKA";1563339;1335155;1081746;968888;866374;1046432;895203;812301;788229;786179;747201;622928;486216;426246;386959;484826;413268;375892;373293;380373;816138;712227;595530;542642;479415;561606;481935;436409;414936;405806;
1400000;"MAZOWIECKIE";216527;188910;154068;136545;123208;146375;129248;116520;110526;109020;111843;95107;75250;65440;59684;72353;63966;57522;56252;56340;104684;93803;78818;71105;63524;74022;65282;58998;54274;52680;
3000000;"WIELKOPOLSKIE";93311;77697;58857;50867;46313;60958;49850;46289;46531;46625;39504;31981;23091;19415;18327;25410;20250;19144;19340;19893;53807;45716;35766;31452;27986;35548;29600;27145;27191;26732;
3200000;"ZACHODNIOPOMORSKIE";79393;65842;52599;46002;41771;52018;43446;40144;39709;39675;36511;29403;22022;18883;17517;23502;19158;17544;18189;18458;42882;36439;30577;27119;24254;28516;24288;22600;21520;21217;
